sep=,
X,Y,Z
-65.2476,37.4952,-54.8725
-76.0127,26.2187,-62.6121
-91.6607,30.0226,-76.5007
-100.245,27.8968,-77.3099
-95.8066,33.5408,23.7226
-90.1423,33.4592,19.9816
-62.3419,60.8645,7.97227
-58.6884,61.4599,-18.2814
-61.1912,57.7499,-26.2138
-69.0702,54.398,-50.8911
-81.4616,39.6684,-68.7209
-93.1694,34.7105,-76.7161
-101.685,32.679,-78.225
-108.769,29.8643,35.3555
-99.6413,42.0004,21.7414
-68.0613,62.5942,14.1666
-64.0335,65.7655,-18.5119
-65.1797,64.8429,-21.1406
-72.0544,60.0976,-51.2098
-86.3311,47.0684,-70.6226
-94.9179,39.8932,-76.738
-102.916,37.2735,-78.8652
-111.096,30.4009,34.8422
-102.419,47.3716,20.4734
-92.2591,68.8076,25.9873
-80.0798,95.2169,-16.1976
-77.5118,85.7357,-37.9022
-82.4563,78.4679,-51.5591
-92.8665,61.4089,-71.8554
-104.053,41.7289,-79.8652
-113.641,31.6277,34.5251
-107.515,58.0855,17.654
-110.44,64.9823,16.552
-105.109,102.899,13.6102
-96.8243,117.08,-14.6056
-107.855,96.7985,-71.0393
-107.265,68.5196,-79.5262
-107.147,57.2304,-79.6929
-116.524,32.5795,33.9584
-121.479,49.0076,38.6194
-138.282,70.1229,32.3819
-145.918,99.1997,16.9138
-124.165,36.1658,15.761
-123.885,37.3309,16.5738
-143.625,69.4628,32.0559
-173.856,84.1582,18.9283
-125.697,31.462,14.1039
-131.443,38.7902,31.0548
-164.76,43.4847,15.9213
-185.216,63.4449,16.6123
-221.28,64.2428,-13.0415
-125.234,25.2154,12.6722
-140.068,24.5367,27.4831
-151.322,26.7002,15.4513
-184.37,25.4333,-5.34901
-197.8,26.0953,-27.2346
-182.628,25.3699,-52.5952
