sep=,
X,Y,Z
110.903,23.6977,65.4046
112.694,24.4201,64.314
114.307,25.1528,63.0722
116.198,25.6585,61.7215
117.981,26.1076,60.4423
119.708,26.6309,58.6286
121.555,26.9701,57.0659
123.425,27.4756,55.349
125.155,27.9682,53.3441
127.122,28.5213,51.3932
128.797,29.0894,49.7574
130.651,29.6329,47.7459
132.694,30.2766,45.5168
134.443,30.8056,42.8473
136.219,30.9944,40.2046
137.97,31.2061,37.5829
139.404,31.5233,35.564
141.064,31.9439,33.2018
142.361,32.0445,30.8484
143.529,32.4955,29.0799
144.61,32.9051,26.6455
145.615,33.3645,24.3262
146.379,33.7806,21.8466
147.246,34.3957,19.4756
148.033,35.2593,16.9359
148.827,36.5533,14.719
149.772,37.9548,12.3757
150.274,39.3961,10.3476
150.838,40.7791,8.13549
151.379,42.3487,5.81328
151.883,43.5292,3.62627
152.291,44.6609,1.69677
152.613,45.8173,-0.0939759
152.995,46.6887,-1.71578
153.212,47.4127,-3.12884
153.137,47.7332,-4.12427
152.98,48.0262,-5.24168
152.809,48.1131,-6.17971
152.339,48.166,-6.94362
151.669,48.1633,-7.78752
150.892,48.1238,-8.64614
149.868,48.1253,-9.20392
148.963,48.4138,-9.73168
148.234,48.7437,-9.6691
147.666,49.0892,-9.4039
147.061,49.6409,-8.56752
146.717,50.1909,-7.46079
146.54,50.9689,-6.17698
146.233,51.9134,-4.82156
145.973,52.9135,-3.07066
145.594,53.9812,-1.87787
145.473,54.7767,-0.578176
144.965,55.4079,0.765964
144.447,56.029,1.81835
143.659,56.1553,2.98556
142.756,56.2115,3.94678
141.689,56.1395,4.86233
140.421,55.9281,5.92837
139.126,55.323,6.99015
137.641,54.8282,8.09693
136.027,54.2228,9.51195
134.21,53.4483,11.4567
132.455,52.3918,13.5113
130.692,51.273,15.5705
129.028,49.9805,17.5248
127.074,49.0333,19.3814
124.961,48.6875,21.0455
122.39,48.5077,22.6535
120.136,48.2075,23.8258
118.181,47.6796,24.8653
116.066,46.9156,25.8965
113.964,46.2745,27.0403
112.041,45.4397,28.0074
110.517,44.688,29.1601
108.771,43.8495,30.3228
107.155,42.9029,31.5691
105.629,41.9042,33.048
104.001,40.969,34.3692
102.236,39.9993,35.7042
100.74,39.2845,36.735
98.9659,38.4901,37.5137
97.0465,37.5127,38.2177
95.0692,36.5035,38.8035
93.1101,35.4929,38.9723
90.9589,34.6465,39.413
88.6837,33.4045,39.6572
86.5356,32.2833,39.753
84.3322,30.9736,39.873
81.9308,29.8012,39.9453
79.7729,28.7625,40.2087
77.2735,27.2597,40.2332
74.8107,25.7444,40.1915
72.1177,24.1857,39.8204
69.3146,22.732,39.5402
66.3484,21.4131,39.1396
63.1156,20.0671,38.727
59.752,18.4424,38.0097
56.2545,16.9233,37.4329
52.9557,15.3271,36.7954
49.6408,13.7944,36.3964
46.1749,12.2537,36.0237
43.0176,10.776,35.7849
39.8207,9.47035,35.7382
36.8304,8.16088,35.7893
34.166,7.118,35.7981
31.8251,5.97037,36.3458
29.1955,4.69103,36.7597
26.7083,3.56103,37.5091
24.2847,2.09315,38.1929
21.8642,0.787602,38.9717
19.5969,-0.680722,39.8393
17.293,-2.05022,40.6709
15.0086,-3.47184,41.24
