sep=,
X,Y,Z
94.2447,27.9694,-27.4469
96.8033,28.6971,-29.8276
99.9099,29.9634,-32.8715
83.8111,26.3918,-29.6993
86.3827,26.4923,-31.53
118.782,34.6827,-44.4337
119.079,34.5779,-58.8198
135.287,38.2882,-58.252
115.004,33.2992,-63.2318
142.933,40.0445,-60.3923
136.727,38.5598,-70.1076
140.309,39.6914,-92.3827
140.105,39.4161,-102.841
119.168,33.4482,-30.5668
123.209,34.7312,-41.4163
105.69,30.3673,-36.66
124.948,35.2319,-44.2126
78.8537,23.2912,-33.1238
112.649,31.9291,-42.3531
118.613,33.2638,-49.5329
116.123,33.2329,-49.6579
141.556,39.3067,-53.345
137.293,38.4751,-54.0951
117.723,32.8399,-57.9941
123.582,34.9223,-62.5192
122.04,34.4373,-66.3977
122.274,34.6221,-67.3874
140.436,38.986,-72.7358
137.9,38.408,-79.9612
140.486,39.2978,-90.4029
115.864,31.4709,-26.2894
124.513,34.1579,-32.1952
98.9394,26.4844,-27.4884
96.0919,25.973,-28.7616
96.8736,26.9752,-30.8414
88.8408,24.3831,-35.7083
113.437,31.224,-43.5743
112.465,30.5192,-46.1392
112.696,31.1631,-61.4386
106.144,29.0342,-62.7114
121.06,33.508,-67.7312
132.071,36.2854,-74.02
134.649,37.1715,-82.2546
138.66,37.9155,-108.019
150.177,41.1925,-110.152
114.296,30.5453,-24.5208
124.912,33.5176,-31.9733
100.216,26.7788,-28.1237
102.866,26.8359,-29.7213
96.7653,25.7033,-29.7739
122.025,32.6025,-40.3685
122.619,32.7073,-42.2531
109.994,29.5586,-39.9425
117.998,31.7849,-44.3106
82.4639,20.8274,-36.0967
82.3926,21.691,-39.3612
120.041,31.948,-48.0793
85.0617,21.5861,-42.9081
87.6365,21.9394,-46.2179
116.39,30.7476,-56.8557
122.584,33.1434,-58.652
123.051,32.9537,-61.4818
143.483,39.097,-84.3961
146.498,39.8596,-122.263
123.005,32.1559,-31.4023
104.863,26.7197,-30.2864
114.58,29.823,-39.5733
101.409,25.9264,-36.6424
108.964,27.5658,-42.7294
92.5035,22.2179,-40.4565
116.587,30.5414,-46.6954
91.1257,22.2198,-49.7333
94.3367,22.8689,-52.3055
97.5018,24.0396,-55.1782
135.225,36.1915,-56.6444
121.246,31.8452,-65.248
140.072,37.3528,-73.1695
137.806,36.6163,-77.8511
134.47,36.044,-100.317
155.395,42.3856,-118.717
155.814,42.3548,-40.8355
122.554,30.9392,-30.2871
121.397,30.4031,-30.4718
152.304,41.1218,-48.7069
112.947,27.6704,-34.2983
98.1945,23.5689,-29.4023
121.274,30.5468,-39.567
104.857,25.2545,-36.0826
82.6385,18.0416,-35.1851
104.197,25.5981,-40.9888
88.3065,20.3481,-40.654
141.023,37.4548,-51.3821
116.728,29.1248,-48.8293
104.248,24.4903,-53.7946
106.222,25.6998,-55.4932
115.217,29.0338,-56.3262
134.362,35.0543,-56.9475
122.37,31.0382,-58.4164
122.509,30.7372,-60.9387
120.222,30.4891,-62.4373
136.736,35.6991,-61.0371
143.507,37.9641,-60.2016
136.745,35.641,-68.8033
135.415,35.3959,-82.1784
138.037,36.316,-105.002
165.077,45.3755,-120.596
120.002,29.0138,-29.3385
118.702,28.9946,-37.6023
122.135,29.8141,-39.2626
119.721,29.4539,-39.7698
105.145,24.3821,-39.4029
116.593,28.4709,-43.6314
106.886,24.5225,-45.4927
93.4955,20.5993,-44.4084
119.402,29.5453,-49.4407
97.9962,21.538,-48.0081
100.086,22.567,-50.3592
101.816,23.2719,-52.1551
113.651,27.0148,-55.5581
120.65,29.7988,-63.4559
119.533,29.5094,-64.6196
120.762,29.294,-67.9983
140.68,36.8971,-72.6136
162.972,44.641,-146.547
118.258,27.3908,-28.0646
125.477,30.2674,-40.5575
99.0341,21.0673,-32.098
111.884,25.5393,-37.9447
102.678,21.7522,-35.6499
101.996,21.2948,-36.8355
129.113,32.012,-50.5134
122.284,29.1773,-50.9399
112.68,25.4909,-55.0314
122.332,29.3486,-58.1409
118.404,27.6762,-63.8135
131.804,32.9748,-72.0324
141.46,36.4031,-102.151
150.267,39.9458,-109.546
119.867,27.4428,-28.7086
116.982,26.5035,-37.5581
96.4772,18.2159,-35.3327
140.307,35.5452,-49.1584
129.555,31.0348,-49.4184
129.39,31.3355,-50.4239
129.462,31.0123,-50.4412
126.741,29.9451,-51.4938
126.812,29.9717,-52.04
126.89,30.0293,-52.8595
136.916,34.1348,-53.8296
134.751,33.5584,-56.2612
121.517,28.3755,-59.6396
119.989,27.9285,-61.8178
117.476,26.158,-63.1456
130.986,32.1107,-74.9834
137.714,34.7409,-75.8864
142.295,36.4342,-82.4182
133.28,33.1168,-100.184
149.336,39.1774,-81.2985
137.576,34.293,-101.892
153.546,40.812,-117.056
157.869,42.5457,-109.408
120.718,27.0782,-38.0268
128.787,30.6447,-41.6964
108.876,21.7786,-36.5245
99.6779,18.7278,-35.2372
99.7185,18.3994,-36.9736
115.018,24.8228,-42.7311
127.642,29.9763,-48.6396
129.732,30.9477,-49.6039
130.5,30.6767,-49.8962
79.5726,9.44798,-44.982
110.028,22.8906,-50.7359
127.045,29.7952,-53.1334
111.703,23.753,-54.4371
121.688,26.9202,-57.516
119.202,26.2969,-60.2383
116.494,25.1806,-62.4955
120.213,27.0108,-62.0948
134.096,32.6399,-78.1189
